do,yr,pfx,rgn,sfx,startDate,durationDays,hab_sfx
TRUE,2009,10_17_2009,fknms,10day_500buf-27km,10/17/2009,10,_500buf-27km
TRUE,2009,10_17_2009,fknms,30day_500buf-27km,10/17/2009,30,_500buf-27km
TRUE,2009,10_17_2009,fknms,50day_500buf-27km,10/17/2009,50,_500buf-27km
TRUE,2009,01_25_2009,fknms,10day_500buf-27km,1/25/2009,10,_500buf-27km
TRUE,2009,01_25_2009,fknms,30day_500buf-27km,1/25/2009,30,_500buf-27km
TRUE,2009,01_25_2009,fknms,50day_500buf-27km,1/25/2009,50,_500buf-27km
TRUE,2009,04_24_2009,fknms,10day_500buf-27km,4/24/2009,10,_500buf-27km
TRUE,2009,04_24_2009,fknms,30day_500buf-27km,4/24/2009,30,_500buf-27km
TRUE,2009,04_24_2009,fknms,50day_500buf-27km,4/24/2009,50,_500buf-27km
TRUE,2009,07_21_2009,fknms,10day_500buf-27km,7/21/2009,10,_500buf-27km
TRUE,2009,07_21_2009,fknms,30day_500buf-27km,7/21/2009,30,_500buf-27km
TRUE,2009,07_21_2009,fknms,50day_500buf-27km,7/21/2009,50,_500buf-27km
TRUE,2009,10_17_2009,mbnms,10day_500buf-27km,10/17/2009,10,_500buf-27km
TRUE,2009,10_17_2009,mbnms,30day_500buf-27km,10/17/2009,30,_500buf-27km
TRUE,2009,10_17_2009,mbnms,50day_500buf-27km,10/17/2009,50,_500buf-27km
TRUE,2009,01_25_2009,mbnms,10day_500buf-27km,1/25/2009,10,_500buf-27km
TRUE,2009,01_25_2009,mbnms,30day_500buf-27km,1/25/2009,30,_500buf-27km
TRUE,2009,01_25_2009,mbnms,50day_500buf-27km,1/25/2009,50,_500buf-27km
TRUE,2009,04_24_2009,mbnms,10day_500buf-27km,4/24/2009,10,_500buf-27km
TRUE,2009,04_24_2009,mbnms,30day_500buf-27km,4/24/2009,30,_500buf-27km
TRUE,2009,04_24_2009,mbnms,50day_500buf-27km,4/24/2009,50,_500buf-27km
TRUE,2009,07_21_2009,mbnms,10day_500buf-27km,7/21/2009,10,_500buf-27km
TRUE,2009,07_21_2009,mbnms,30day_500buf-27km,7/21/2009,30,_500buf-27km
TRUE,2009,07_21_2009,mbnms,50day_500buf-27km,7/21/2009,50,_500buf-27km
